from_postcode,to_postcode,from_lat,from_long,to_lat,to_long,from_loc_identified,to_loc_identified,route_locs_identified,time_min,distance_km,imputed,no_route
E01012461, M139WL,53.42911664,-2.500933181,53.46243503,-2.22771102, True, True, True,18,24.6,0,0
E01005700, M139WL,53.50791245,-2.339275703,53.46243503,-2.22771102, True, True, True,13,11.6,0,0
E01005844, M139WL,53.37563712,-2.225338289,53.46243503,-2.22771102, True, True, True,12,11.3,0,0
E01005532, M139WL,53.53822925,-2.183757131,53.46243503,-2.22771102, True, True, True,14,12.3,0,0
E01024628, M139WL,51.30694043,0.728596867,53.46243503,-2.22771102, True, True, True,228,404.5,0,0
E01006231, M139WL,53.57606909,-2.598796048,53.46243503,-2.22771102, True, True, True,25,34.8,0,0
E01005321, M139WL,53.53267752,-2.097105031,53.46243503,-2.22771102, True, True, True,20,21.3,0,0
E01018408, M139WL,53.16666892,-2.226320332,53.46243503,-2.22771102, True, True, True,32,38.5,0,0
E01029815, M139WL,53.10580046,-2.044217501,53.46243503,-2.22771102, True, True, True,41,49.4,0,0
E01005146, M139WL,53.50609646,-2.230040969,53.46243503,-2.22771102, True, True, True,8,6.9,0,0
E01005174, M139WL,53.42031671,-2.226733329,53.46243503,-2.22771102, True, True, True,9,6.8,0,0
E01005995, M139WL,53.49002503,-2.128341151,53.46243503,-2.22771102, True, True, True,11,10,0,0
E01005246, M139WL,53.45475339,-2.239687061,53.46243503,-2.22771102, True, True, True,3,1.6,0,0
E01005200, M139WL,53.44659927,-2.179099988,53.46243503,-2.22771102, True, True, True,7,5.1,0,0
E01005186, M139WL,53.46609393,-2.18587018,53.46243503,-2.22771102, True, True, True,6,4.6,0,0
E01005287, M139WL,53.45358352,-2.206777188,53.46243503,-2.22771102, True, True, True,4,2.4,0,0
E01033686, M139WL,53.45152991,-2.263656273,53.46243503,-2.22771102, True, True, True,6,3.4,0,0
E01005300, M139WL,53.44136209,-2.260386673,53.46243503,-2.22771102, True, True, True,7,4.6,0,0
E01025315, M139WL,53.85039401,-2.479958602,53.46243503,-2.22771102, True, True, True,49,75.6,0,0
E01005285, M139WL,53.45428178,-2.228073945,53.46243503,-2.22771102, True, True, True,3,2.4,0,0
E01005357, M139WL,53.58642126,-2.104690807,53.46243503,-2.22771102, True, True, True,23,26.2,0,0
E01032921, M139WL,53.53472693,-2.125881515,53.46243503,-2.22771102, True, True, True,16,17.9,0,0
E01006033, M139WL,53.46312218,-2.07655179,53.46243503,-2.22771102, True, True, True,13,12.9,0,0
E01005715, M139WL,53.51492544,-2.396969456,53.46243503,-2.22771102, True, True, True,13,15.1,0,0
E01005999, M139WL,53.47692821,-2.151866263,53.46243503,-2.22771102, True, True, True,8,6.8,0,0
E01006306, M139WL,53.54409555,-2.62199215,53.46243503,-2.22771102, True, True, True,29,37.5,0,0
E01005418, M139WL,53.54275788,-2.063944571,53.46243503,-2.22771102, True, True, True,21,22.8,0,0
E01005664, M139WL,53.53710325,-2.429783062,53.46243503,-2.22771102, True, True, True,19,25.3,0,0
E01005246, M139WL,53.45475339,-2.239687061,53.46243503,-2.22771102, True, True, True,3,1.6,0,0
E01005851, M139WL,53.37629933,-2.236149391,53.46243503,-2.22771102, True, True, True,14,12.1,0,0
E01005877, M139WL,53.39947752,-2.149258755,53.46243503,-2.22771102, True, True, True,12,10.3,0,0
E01005985, M139WL,53.4524853,-2.139837669,53.46243503,-2.22771102, True, True, True,9,7.5,0,0
E01004986, M139WL,53.54525459,-2.293531039,53.46243503,-2.22771102, True, True, True,16,22.1,0,0
E01018645, M139WL,53.25592251,-2.153854016,53.46243503,-2.22771102, True, True, True,26,31.5,0,0
E01019730, M139WL,53.46181377,-1.973874577,53.46243503,-2.22771102, True, True, True,17,18.9,0,0
E01005922, M139WL,53.42904696,-2.158452712,53.46243503,-2.22771102, True, True, True,9,7.9,0,0
E01005371, M139WL,53.50968784,-2.16115132,53.46243503,-2.22771102, True, True, True,12,9.1,0,0
E01006188, M139WL,53.46203227,-2.273948303,53.46243503,-2.22771102, True, True, True,7,4.9,0,0
E01005129, M139WL,53.491896,-2.215675,53.46243503,-2.22771102, True, True, True,7,5.1,0,0
E01005340, M139WL,53.55314298,-2.142811383,53.46243503,-2.22771102, True, True, True,18,21.2,0,0
E01005503, M139WL,53.58354926,-2.220447251,53.46243503,-2.22771102, True, True, True,21,29.9,0,0
E01004998, M139WL,53.5738282,-2.34148,53.46243503,-2.22771102, True, True, True,22,27.4,0,0
E01025468, M139WL,53.56476323,-2.779440326,53.46243503,-2.22771102, True, True, True,32,50.7,0,0
E01004918, M139WL,53.56751219,-2.373227805,53.46243503,-2.22771102, True, True, True,20,24.2,0,0
E01005438, M139WL,53.52518442,-2.113816076,53.46243503,-2.22771102, True, True, True,16,18.4,0,0
E01006294, M139WL,53.51456768,-2.463847739,53.46243503,-2.22771102, True, True, True,19,20.2,0,0
E01005208, M139WL,53.46349675,-2.249647302,53.46243503,-2.22771102, True, True, True,5,3.8,0,0
E01005408, M139WL,53.53619526,-2.009346359,53.46243503,-2.22771102, True, True, True,24,21.9,0,0
E01005909, M139WL,53.39016476,-2.056136433,53.46243503,-2.22771102, True, True, True,20,19.4,0,0
E01004909, M139WL,53.53819333,-2.375700792,53.46243503,-2.22771102, True, True, True,15,20.5,0,0
E01006323, M139WL,53.50491949,-2.537619801,53.46243503,-2.22771102, True, True, True,24,29.3,0,0
E01005230, M139WL,53.45844351,-2.208382172,53.46243503,-2.22771102, True, True, True,3,2.2,0,0
E01005149, M139WL,53.51034,-2.239352,53.46243503,-2.22771102, True, True, True,9,7.1,0,0
E01005671, M139WL,53.51300384,-2.328217661,53.46243503,-2.22771102, True, True, True,12,10.9,0,0
E01005780, M139WL,53.39297149,-2.19203209,53.46243503,-2.22771102, True, True, True,12,10.5,0,0
E01004910, M139WL,53.54760594,-2.369370051,53.46243503,-2.22771102, True, True, True,16,20.9,0,0
E01004956, M139WL,53.60192089,-2.284494566,53.46243503,-2.22771102, True, True, True,21,30.3,0,0
E01005396, M139WL,53.57385331,-2.13398657,53.46243503,-2.22771102, True, True, True,21,23.7,0,0
E01005321, M139WL,53.53267752,-2.097105031,53.46243503,-2.22771102, True, True, True,20,21.3,0,0
E01004815, M139WL,53.56114942,-2.424139084,53.46243503,-2.22771102, True, True, True,18,23.7,0,0
E01005801, M139WL,53.38705363,-2.135623398,53.46243503,-2.22771102, True, True, True,14,11.9,0,0
E01005842, M139WL,53.36976529,-2.100985264,53.46243503,-2.22771102, True, True, True,18,14.8,0,0
E01005990, M139WL,53.45528484,-2.143927951,53.46243503,-2.22771102, True, True, True,9,7.2,0,0
E01005957, M139WL,53.49732173,-2.102435645,53.46243503,-2.22771102, True, True, True,14,13.7,0,0
E01005906, M139WL,53.36284354,-2.065657311,53.46243503,-2.22771102, True, True, True,20,17.3,0,0
E01005886, M139WL,53.44932803,-2.156375,53.46243503,-2.22771102, True, True, True,8,6.8,0,0
E01004825, M139WL,53.59365016,-2.434481675,53.46243503,-2.22771102, True, True, True,20,26.4,0,0
E01006020, M139WL,53.46977954,-2.066741813,53.46243503,-2.22771102, True, True, True,15,14.2,0,0
E01005893, M139WL,53.44006393,-2.160661527,53.46243503,-2.22771102, True, True, True,10,7.9,0,0
E01005193, M139WL,53.45665802,-2.159670072,53.46243503,-2.22771102, True, True, True,7,5.9,0,0
E01005937, M139WL,53.50301221,-2.062226119,53.46243503,-2.22771102, True, True, True,16,15.7,0,0
E01006290, M139WL,53.5286773,-2.478106873,53.46243503,-2.22771102, True, True, True,20,26.6,0,0
E01004847, M139WL,53.56340761,-2.436043639,53.46243503,-2.22771102, True, True, True,19,24.7,0,0
E01019739, M139WL,53.44359537,-1.949526419,53.46243503,-2.22771102, True, True, True,20,21.1,0,0
E01004958, M139WL,53.59676628,-2.282525875,53.46243503,-2.22771102, True, True, True,20,29.5,0,0
E01005200, M139WL,53.44659927,-2.179099988,53.46243503,-2.22771102, True, True, True,7,5.1,0,0
E01005158, M139WL,53.43489503,-2.274345569,53.46243503,-2.22771102, True, True, True,9,6.1,0,0
E01004815, M139WL,53.56114942,-2.424139084,53.46243503,-2.22771102, True, True, True,18,23.7,0,0
E01005145, M139WL,53.50783184,-2.238886045,53.46243503,-2.22771102, True, True, True,9,6.7,0,0
E01005008, M139WL,53.56100924,-2.328800785,53.46243503,-2.22771102, True, True, True,20,25.9,0,0
E01006296, M139WL,53.49096657,-2.50971,53.46243503,-2.22771102, True, True, True,22,25.1,0,0
E01025497, M139WL,53.70628665,-2.848180592,53.46243503,-2.22771102, True, True, True,48,71.8,0,0
E01006409, M139WL,53.52268778,-2.648392,53.46243503,-2.22771102, True, True, True,29,39.7,0,0
E01005515, M139WL,53.58637824,-2.240311108,53.46243503,-2.22771102, True, True, True,22,31,0,0
E01005979, M139WL,53.44405085,-2.098046478,53.46243503,-2.22771102, True, True, True,12,10.8,0,0
E01005466, M139WL,53.59471663,-2.155023748,53.46243503,-2.22771102, True, True, True,24,27.4,0,0
E01005291, M139WL,53.38073085,-2.257791392,53.46243503,-2.22771102, True, True, True,13,12.8,0,0
E01004820, M139WL,53.59011314,-2.435744599,53.46243503,-2.22771102, True, True, True,20,26.1,0,0
E01005562, M139WL,53.60000729,-2.099118407,53.46243503,-2.22771102, True, True, True,23,29.6,0,0
E01012178, M139WL,54.60931243,-1.059149664,53.46243503,-2.22771102, True, True, True,120,196.6,0,0
E01005563, M139WL,53.60733468,-2.141740074,53.46243503,-2.22771102, True, True, True,23,30.7,0,0
E01004906, M139WL,53.54483095,-2.388451257,53.46243503,-2.22771102, True, True, True,14,19.8,0,0
E01005711, M139WL,53.52147681,-2.383019,53.46243503,-2.22771102, True, True, True,16,16.9,0,0
E01010747, M139WL,53.76892825,-1.759391508,53.46243503,-2.22771102, True, True, True,43,65.6,0,0
E01005020, M139WL,53.63720448,-2.318307518,53.46243503,-2.22771102, True, True, True,25,37.5,0,0
E01006375, M139WL,53.55221637,-2.633175136,53.46243503,-2.22771102, True, True, True,30,38.1,0,0
E01006294, M139WL,53.51456768,-2.463847739,53.46243503,-2.22771102, True, True, True,19,20.2,0,0
E01006046, M139WL,53.43862138,-2.073692613,53.46243503,-2.22771102, True, True, True,13,13.1,0,0
E01019762, M139WL,53.25147351,-1.919131938,53.46243503,-2.22771102, True, True, True,39,46.5,0,0
E01004900, M139WL,53.559289,-2.467477098,53.46243503,-2.22771102, True, True, True,20,26.3,0,0
E01019726, M139WL,53.236262,-1.903668812,53.46243503,-2.22771102, True, True, True,39,47.2,0,0
E01005638, M139WL,53.48340162,-2.354510935,53.46243503,-2.22771102, True, True, True,10,10.5,0,0
E01004879, M139WL,53.5580725,-2.432471406,53.46243503,-2.22771102, True, True, True,19,24.4,0,0
E01005236, M139WL,53.45545927,-2.208412723,53.46243503,-2.22771102, True, True, True,3,2.3,0,0
E01005222, M139WL,53.44060536,-2.184072708,53.46243503,-2.22771102, True, True, True,6,5,0,0
E01005813, M139WL,53.37427235,-2.142887634,53.46243503,-2.22771102, True, True, True,16,14.2,0,0
E01005142, M139WL,53.50703995,-2.243781825,53.46243503,-2.22771102, True, True, True,9,6.9,0,0
E01004996, M139WL,53.56363008,-2.336611594,53.46243503,-2.22771102, True, True, True,20,26.2,0,0
E01005208, M139WL,53.46349675,-2.249647302,53.46243503,-2.22771102, True, True, True,5,3.8,0,0
E01005061, M139WL,53.468969,-2.208916585,53.46243503,-2.22771102, True, True, True,3,2.5,0,0
